"x","y","z","h"
"2310","2031","3201","1*v^-1 + 1*v^1"
"2310","2031","3210","1*v^-2 + 2*v^0 + 1*v^2"
"2310","2103","2103","1*v^-1 + 1*v^1"
"2310","2103","3210","1*v^-2 + 2*v^0 + 1*v^2"
"2310","2130","2103","1*v^-2 + 2*v^0 + 1*v^2"
"2310","2130","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"2310","2301","2103","1*v^-2 + 2*v^0 + 1*v^2"
"2310","2301","3201","1*v^-2 + 2*v^0"
"2310","2301","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"2310","2310","2103","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"2310","2310","3210","1*v^-4 + 3*v^-2 + 4*v^0 + 3*v^2 + 1*v^4"
"2310","3012","3102","1*v^0"
"2310","3012","3201","1*v^-1 + 1*v^1"
"2310","3012","3210","1*v^-2 + 2*v^0 + 1*v^2"
"2310","3021","3201","1*v^-2 + 2*v^0 + 1*v^2"
"2310","3021","3210","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"2310","3102","3102","1*v^-1 + 1*v^1"
"2310","3102","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"2310","3120","3102","1*v^-2 + 2*v^0"
"2310","3120","3201","-1*v^1"
"2310","3120","3210","1*v^-4 + 4*v^-2 + 6*v^0 + 3*v^2 + 1*v^4"
"2310","3201","3201","1*v^-1 + 1*v^1"
"2310","3201","3210","1*v^-4 + 3*v^-2 + 4*v^0 + 3*v^2 + 1*v^4"
"2310","3210","3210","1*v^-5 + 3*v^-3 + 5*v^-1 + 5*v^1 + 3*v^3 + 1*v^5"
"3012","0123","1230","1*v^0"
"3012","0132","1032","1*v^0"
"3012","0132","1320","1*v^0"
"3012","0213","0231","1*v^0"
"3012","0213","2130","1*v^0"
"3012","0231","0321","1*v^0"
"3012","0231","2031","1*v^0"
"3012","0231","2310","1*v^0"
"3012","0312","0123","-1*v^3"
"3012","0312","0132","1*v^0 + 1*v^2"
"3012","0312","0321","1*v^0"
"3012","0312","1023","1*v^2"
"3012","0312","3120","1*v^0"
"3012","0321","0321","1*v^-1 + 1*v^1"
"3012","0321","3021","1*v^0"
"3012","0321","3210","1*v^0"
"3012","1023","1230","1*v^-1 + 1*v^1"
"3012","1032","1032","1*v^-1 + 1*v^1"
"3012","1032","1320","1*v^-1 + 1*v^1"
"3012","1203","1230","1*v^0"
"3012","1203","2130","1*v^-1 + 1*v^1"
"3012","1230","1032","1*v^0"
"3012","1230","1320","1*v^0"
"3012","1230","2130","1*v^0"
"3012","1230","2310","1*v^-1 + 1*v^1"
"3012","1302","0123","-1*v^2 + -1*v^4"
"3012","1302","0132","1*v^1 + 1*v^3"
"3012","1302","1023","1*v^1 + 1*v^3"
"3012","1302","1032","1*v^0"
"3012","1302","1320","1*v^0"
"3012","1302","3120","1*v^-1 + 1*v^1"
"3012","1320","0123","-1*v^3"
"3012","1320","0132","1*v^2"
"3012","1320","1023","1*v^2"
"3012","1320","1320","1*v^-1 + 1*v^1"
"3012","1320","3120","1*v^0"
"3012","1320","3210","1*v^-1 + 1*v^1"
"3012","2013","0231","1*v^-1 + 1*v^1"
"3012","2013","2130","1*v^-1 + 1*v^1"
"3012","2031","0321","1*v^-1 + 1*v^1"
"3012","2031","2031","1*v^-1 + 1*v^1"
"3012","2031","2310","1*v^-1 + 1*v^1"
"3012","2103","2130","1*v^-2 + 2*v^0 + 1*v^2"
"3012","2130","2130","1*v^-1 + 1*v^1"
"3012","2130","2310","1*v^-2 + 2*v^0 + 1*v^2"
"3012","2301","0321","1*v^0"
"3012","2301","1230","-1*v^2"
"3012","2301","2031","1*v^0"
"3012","2301","2130","1*v^-1 + 1*v^1"
"3012","2301","2310","1*v^0"
"3012","2301","3021","1*v^-1 + 1*v^1"
"3012","2301","3210","1*v^-1 + 1*v^1"
"3012","2310","2130","1*v^0"
"3012","2310","2310","1*v^-1 + 1*v^1"
"3012","2310","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3012","3012","0123","-1*v^2 + -1*v^4"
"3012","3012","0132","1*v^-1 + 2*v^1 + 1*v^3"
"3012","3012","0321","1*v^-1 + 1*v^1"
"3012","3012","1023","1*v^1 + 1*v^3"
"3012","3012","3120","1*v^-1 + 1*v^1"
"3012","3021","0321","1*v^-2 + 2*v^0 + 1*v^2"
"3012","3021","3021","1*v^-1 + 1*v^1"
"3012","3021","3210","1*v^-1 + 1*v^1"
"3012","3102","0123","-1*v^1 + -2*v^3 + -1*v^5"
"3012","3102","0132","1*v^0 + 2*v^2 + 1*v^4"
"3012","3102","1023","1*v^0 + 2*v^2 + 1*v^4"
"3012","3102","3120","1*v^-2 + 2*v^0 + 1*v^2"
"3012","3120","0123","-1*v^2 + -1*v^4"
"3012","3120","0132","1*v^1 + 1*v^3"
"3012","3120","1023","1*v^1 + 1*v^3"
"3012","3120","1032","-1*v^2"
"3012","3120","1230","-1*v^1"
"3012","3120","1320","1*v^-2 + 2*v^0"
"3012","3120","3120","1*v^-1 + 1*v^1"
"3012","3120","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3012","3201","3021","1*v^-2 + 2*v^0 + 1*v^2"
"3012","3201","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3012","3210","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3021","0123","1320","1*v^0"
"3021","0132","1320","1*v^-1 + 1*v^1"
"3021","0213","0321","1*v^0"
"3021","0213","2310","1*v^0"
"3021","0231","0321","1*v^-1 + 1*v^1"
"3021","0231","2310","1*v^-1 + 1*v^1"
"3021","0312","0321","1*v^-1 + 1*v^1"
"3021","0312","1320","1*v^0"
"3021","0312","3210","1*v^0"
"3021","0321","0321","1*v^-2 + 2*v^0 + 1*v^2"
"3021","0321","3210","1*v^-1 + 1*v^1"
"3021","1023","1320","1*v^-1 + 1*v^1"
"3021","1032","1320","1*v^-2 + 2*v^0 + 1*v^2"
"3021","1203","1320","1*v^0"
"3021","1203","2310","1*v^-1 + 1*v^1"
"3021","1230","1320","1*v^-1 + 1*v^1"
"3021","1230","2310","1*v^-2 + 2*v^0 + 1*v^2"
"3021","1302","1320","2*v^-1 + 2*v^1"
"3021","1302","3210","1*v^-1 + 1*v^1"
"3021","1320","1320","1*v^-2 + 2*v^0 + 1*v^2"
"3021","1320","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3021","2013","0321","1*v^-1 + 1*v^1"
"3021","2013","2310","1*v^-1 + 1*v^1"
"3021","2031","0321","1*v^-2 + 2*v^0 + 1*v^2"
"3021","2031","2310","1*v^-2 + 2*v^0 + 1*v^2"
"3021","2103","2310","1*v^-2 + 2*v^0 + 1*v^2"
"3021","2130","2310","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3021","2301","0321","2*v^-1 + 2*v^1"
"3021","2301","1320","-1*v^2"
"3021","2301","2310","2*v^-1 + 2*v^1"
"3021","2301","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3021","2310","2310","1*v^-2 + 2*v^0 + 1*v^2"
"3021","2310","3210","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3021","3012","0321","1*v^-2 + 2*v^0 + 1*v^2"
"3021","3012","1320","1*v^-1 + 1*v^1"
"3021","3012","3210","1*v^-1 + 1*v^1"
"3021","3021","0321","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3021","3021","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3021","3102","1320","1*v^-2 + 2*v^0 + 1*v^2"
"3021","3102","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3021","3120","1320","1*v^-3 + 3*v^-1 + 1*v^1"
"3021","3120","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3021","3201","0321","1*v^-2 + 2*v^0 + 1*v^2"
"3021","3201","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3021","3210","3210","1*v^-4 + 3*v^-2 + 4*v^0 + 3*v^2 + 1*v^4"
"3102","0123","2130","1*v^0"
"3102","0132","0123","-1*v^3"
"3102","0132","0132","1*v^2"
"3102","0132","1023","1*v^2"
"3102","0132","3120","1*v^0"
"3102","0213","2130","1*v^-1 + 1*v^1"
"3102","0231","2130","1*v^0"
"3102","0231","3021","1*v^0"
"3102","0231","3210","1*v^0"
"3102","0312","0123","-1*v^2 + -1*v^4"
"3102","0312","0132","1*v^1 + 1*v^3"
"3102","0312","1023","1*v^1 + 1*v^3"
"3102","0312","3120","1*v^-1 + 1*v^1"
"3102","0321","3021","1*v^-1 + 1*v^1"
"3102","0321","3210","1*v^-1 + 1*v^1"
"3102","1023","2130","1*v^-1 + 1*v^1"
"3102","1032","0123","-1*v^2 + -1*v^4"
"3102","1032","0132","1*v^1 + 1*v^3"
"3102","1032","1023","1*v^1 + 1*v^3"
"3102","1032","3120","1*v^-1 + 1*v^1"
"3102","1203","2130","1*v^-2 + 2*v^0 + 1*v^2"
"3102","1230","0123","-1*v^3"
"3102","1230","0132","1*v^2"
"3102","1230","1023","1*v^2"
"3102","1230","2130","1*v^-1 + 1*v^1"
"3102","1230","3120","1*v^0"
"3102","1230","3210","1*v^-1 + 1*v^1"
"3102","1302","0123","-1*v^1 + -2*v^3 + -1*v^5"
"3102","1302","0132","1*v^0 + 2*v^2 + 1*v^4"
"3102","1302","1023","1*v^0 + 2*v^2 + 1*v^4"
"3102","1302","3120","1*v^-2 + 2*v^0 + 1*v^2"
"3102","1320","0123","-1*v^2 + -1*v^4"
"3102","1320","0132","1*v^1 + 1*v^3"
"3102","1320","1023","1*v^1 + 1*v^3"
"3102","1320","3120","1*v^-1 + 1*v^1"
"3102","1320","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3102","2013","2130","1*v^-2 + 2*v^0 + 1*v^2"
"3102","2031","2130","1*v^-1 + 1*v^1"
"3102","2031","3021","1*v^-1 + 1*v^1"
"3102","2031","3210","1*v^-1 + 1*v^1"
"3102","2103","2130","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3102","2130","2130","1*v^-2 + 2*v^0 + 1*v^2"
"3102","2130","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3102","2301","2130","1*v^-2 + 2*v^0"
"3102","2301","3021","1*v^-2 + 2*v^0 + 1*v^2"
"3102","2301","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3102","2310","2130","1*v^-1 + 1*v^1"
"3102","2310","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3102","3012","0123","-1*v^1 + -2*v^3 + -1*v^5"
"3102","3012","0132","1*v^0 + 2*v^2 + 1*v^4"
"3102","3012","1023","1*v^0 + 2*v^2 + 1*v^4"
"3102","3012","3120","1*v^-2 + 2*v^0 + 1*v^2"
"3102","3021","3021","1*v^-2 + 2*v^0 + 1*v^2"
"3102","3021","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3102","3102","0123","-1*v^0 + -2*v^2 + -2*v^4 + -1*v^6"
"3102","3102","0132","1*v^-1 + 2*v^1 + 2*v^3 + 1*v^5"
"3102","3102","1023","1*v^-1 + 2*v^1 + 2*v^3 + 1*v^5"
"3102","3102","3120","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3102","3120","0123","-1*v^1 + -2*v^3"
"3102","3120","0132","1*v^0 + 2*v^2"
"3102","3120","1023","1*v^0 + 2*v^2"
"3102","3120","2130","-1*v^1"
"3102","3120","3120","1*v^-2 + 2*v^0"
"3102","3120","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3102","3201","3021","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3102","3201","3210","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3102","3210","3210","1*v^-4 + 3*v^-2 + 4*v^0 + 3*v^2 + 1*v^4"
"3120","0123","3120","1*v^0"
"3120","0132","0123","-1*v^2 + -1*v^4"
"3120","0132","0132","1*v^3"
"3120","0132","1023","1*v^1 + 1*v^3"
"3120","0132","1032","-1*v^2"
"3120","0132","3120","1*v^-1 + 1*v^1"
"3120","0213","0213","1*v^3"
"3120","0213","0231","-1*v^2"
"3120","0213","2013","-1*v^2"
"3120","0213","2130","1*v^0"
"3120","0213","3021","1*v^0"
"3120","0213","3210","1*v^0"
"3120","0231","0231","-1*v^1"
"3120","0231","2031","-1*v^2"
"3120","0231","2130","1*v^-1 + 1*v^1"
"3120","0231","3021","1*v^-1 + 1*v^1"
"3120","0231","3210","1*v^-1 + 1*v^1"
"3120","0312","0123","-1*v^3"
"3120","0312","0312","1*v^3"
"3120","0312","0321","-1*v^2"
"3120","0312","1023","1*v^2"
"3120","0312","3012","-1*v^2"
"3120","0312","3021","1*v^-1 + 1*v^1"
"3120","0312","3120","1*v^0"
"3120","0312","3210","1*v^-1 + 1*v^1"
"3120","0321","0321","-1*v^1"
"3120","0321","3021","1*v^-2 + 2*v^0"
"3120","0321","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3120","1023","0123","-1*v^2 + -1*v^4"
"3120","1023","0132","1*v^1 + 1*v^3"
"3120","1023","1023","1*v^3"
"3120","1023","1032","-1*v^2"
"3120","1023","3120","1*v^-1 + 1*v^1"
"3120","1032","0123","-1*v^1 + -2*v^3 + -1*v^5"
"3120","1032","0132","1*v^0 + 2*v^2 + 1*v^4"
"3120","1032","1023","1*v^0 + 2*v^2 + 1*v^4"
"3120","1032","1032","-2*v^1 + -1*v^3"
"3120","1032","3120","1*v^-2 + 2*v^0 + 1*v^2"
"3120","1203","0123","-1*v^3"
"3120","1203","0132","1*v^2"
"3120","1203","1203","1*v^3"
"3120","1203","1230","-1*v^2"
"3120","1203","2103","-1*v^2"
"3120","1203","2130","1*v^-1 + 1*v^1"
"3120","1203","3120","1*v^0"
"3120","1203","3210","1*v^-1 + 1*v^1"
"3120","1230","0123","-1*v^2 + -1*v^4"
"3120","1230","0132","1*v^1 + 1*v^3"
"3120","1230","1023","1*v^1 + 1*v^3"
"3120","1230","1032","-1*v^2"
"3120","1230","1230","-1*v^1"
"3120","1230","2130","1*v^-2 + 2*v^0"
"3120","1230","3120","1*v^-1 + 1*v^1"
"3120","1230","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3120","1302","0123","-2*v^2 + -2*v^4"
"3120","1302","0132","2*v^1 + 2*v^3"
"3120","1302","1023","2*v^1 + 2*v^3"
"3120","1302","1032","-2*v^2"
"3120","1302","1302","1*v^3"
"3120","1302","1320","-1*v^2"
"3120","1302","3102","-1*v^2"
"3120","1302","3120","2*v^-1 + 2*v^1"
"3120","1302","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3120","1320","0123","-1*v^1 + -2*v^3"
"3120","1320","0132","1*v^0 + 2*v^2"
"3120","1320","1023","1*v^0 + 2*v^2"
"3120","1320","1320","-1*v^1"
"3120","1320","3120","1*v^-2 + 2*v^0"
"3120","1320","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3120","2013","2013","-1*v^1"
"3120","2013","2031","-1*v^2"
"3120","2013","2130","1*v^-1 + 1*v^1"
"3120","2013","3021","1*v^-1 + 1*v^1"
"3120","2013","3210","1*v^-1 + 1*v^1"
"3120","2031","2031","-2*v^1 + -1*v^3"
"3120","2031","2130","1*v^-2 + 2*v^0 + 1*v^2"
"3120","2031","3021","1*v^-2 + 2*v^0 + 1*v^2"
"3120","2031","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3120","2103","2103","-1*v^1"
"3120","2103","2130","1*v^-2 + 2*v^0"
"3120","2103","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3120","2130","2130","1*v^-3 + 3*v^-1 + 1*v^1"
"3120","2130","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3120","2301","0123","1*v^5"
"3120","2301","0321","-1*v^2"
"3120","2301","2031","-2*v^2"
"3120","2301","2103","-1*v^2"
"3120","2301","2130","2*v^-1 + 2*v^1"
"3120","2301","2301","1*v^3"
"3120","2301","2310","-1*v^2"
"3120","2301","3021","2*v^-1 + 2*v^1"
"3120","2301","3120","-1*v^2"
"3120","2301","3201","-1*v^2"
"3120","2301","3210","1*v^-3 + 5*v^-1 + 5*v^1 + 1*v^3"
"3120","2310","2130","1*v^-2 + 2*v^0"
"3120","2310","2310","-1*v^1"
"3120","2310","3210","1*v^-4 + 4*v^-2 + 6*v^0 + 3*v^2 + 1*v^4"
"3120","3012","0123","-1*v^2 + -1*v^4"
"3120","3012","0132","1*v^1 + 1*v^3"
"3120","3012","1023","1*v^1 + 1*v^3"
"3120","3012","1032","-1*v^2"
"3120","3012","3012","-1*v^1"
"3120","3012","3021","1*v^-2 + 2*v^0"
"3120","3012","3120","1*v^-1 + 1*v^1"
"3120","3012","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3120","3021","3021","1*v^-3 + 3*v^-1 + 1*v^1"
"3120","3021","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3120","3102","0123","-1*v^1 + -2*v^3"
"3120","3102","0132","1*v^0 + 2*v^2"
"3120","3102","1023","1*v^0 + 2*v^2"
"3120","3102","3102","-1*v^1"
"3120","3102","3120","1*v^-2 + 2*v^0"
"3120","3102","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3120","3120","0123","-1*v^0 + -3*v^2 + 1*v^4 + 2*v^6"
"3120","3120","0132","1*v^-1 + 3*v^1 + -2*v^5"
"3120","3120","1023","1*v^-1 + 3*v^1 + -2*v^5"
"3120","3120","1032","2*v^4"
"3120","3120","3120","1*v^-3 + 3*v^-1 + -1*v^1 + -1*v^3"
"3120","3120","3210","1*v^-4 + 4*v^-2 + 6*v^0 + 4*v^2 + 1*v^4"
"3120","3201","3021","1*v^-2 + 2*v^0"
"3120","3201","3201","-1*v^1"
"3120","3201","3210","1*v^-4 + 4*v^-2 + 6*v^0 + 3*v^2 + 1*v^4"
"3120","3210","3210","1*v^-5 + 4*v^-3 + 7*v^-1 + 5*v^1 + 3*v^3 + 1*v^5"
"3201","0123","2310","1*v^0"
"3201","0132","1320","1*v^0"
"3201","0132","3210","1*v^0"
"3201","0213","2310","1*v^-1 + 1*v^1"
"3201","0231","0321","1*v^0"
"3201","0231","2310","1*v^0"
"3201","0231","3210","1*v^-1 + 1*v^1"
"3201","0312","1320","1*v^-1 + 1*v^1"
"3201","0312","3210","1*v^-1 + 1*v^1"
"3201","0321","0321","1*v^-1 + 1*v^1"
"3201","0321","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3201","1023","2310","1*v^-1 + 1*v^1"
"3201","1032","1320","1*v^-1 + 1*v^1"
"3201","1032","3210","1*v^-1 + 1*v^1"
"3201","1203","2310","1*v^-2 + 2*v^0 + 1*v^2"
"3201","1230","1320","1*v^0"
"3201","1230","2310","1*v^-1 + 1*v^1"
"3201","1230","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3201","1302","1320","1*v^-2 + 2*v^0 + 1*v^2"
"3201","1302","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3201","1320","1320","1*v^-1 + 1*v^1"
"3201","1320","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3201","2013","2310","1*v^-2 + 2*v^0 + 1*v^2"
"3201","2031","0321","1*v^-1 + 1*v^1"
"3201","2031","2310","1*v^-1 + 1*v^1"
"3201","2031","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3201","2103","2310","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3201","2130","2310","1*v^-2 + 2*v^0 + 1*v^2"
"3201","2130","3210","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3201","2301","0321","1*v^-2 + 2*v^0 + 1*v^2"
"3201","2301","2310","1*v^-2 + 2*v^0"
"3201","2301","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3201","2310","2310","1*v^-1 + 1*v^1"
"3201","2310","3210","1*v^-4 + 3*v^-2 + 4*v^0 + 3*v^2 + 1*v^4"
"3201","3012","1320","1*v^-2 + 2*v^0 + 1*v^2"
"3201","3012","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3201","3021","0321","1*v^-2 + 2*v^0 + 1*v^2"
"3201","3021","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3201","3102","1320","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3201","3102","3210","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3201","3120","1320","1*v^-2 + 2*v^0"
"3201","3120","2310","-1*v^1"
"3201","3120","3210","1*v^-4 + 4*v^-2 + 6*v^0 + 3*v^2 + 1*v^4"
"3201","3201","0321","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3201","3201","3210","1*v^-4 + 3*v^-2 + 4*v^0 + 3*v^2 + 1*v^4"
"3201","3210","3210","1*v^-5 + 3*v^-3 + 5*v^-1 + 5*v^1 + 3*v^3 + 1*v^5"
"3210","0123","3210","1*v^0"
"3210","0132","3210","1*v^-1 + 1*v^1"
"3210","0213","3210","1*v^-1 + 1*v^1"
"3210","0231","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3210","0312","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3210","0321","3210","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3210","1023","3210","1*v^-1 + 1*v^1"
"3210","1032","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3210","1203","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3210","1230","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3210","1302","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3210","1320","3210","1*v^-4 + 3*v^-2 + 4*v^0 + 3*v^2 + 1*v^4"
"3210","2013","3210","1*v^-2 + 2*v^0 + 1*v^2"
"3210","2031","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3210","2103","3210","1*v^-3 + 2*v^-1 + 2*v^1 + 1*v^3"
"3210","2130","3210","1*v^-4 + 3*v^-2 + 4*v^0 + 3*v^2 + 1*v^4"
"3210","2301","3210","1*v^-4 + 4*v^-2 + 6*v^0 + 3*v^2 + 1*v^4"
"3210","2310","3210","1*v^-5 + 3*v^-3 + 5*v^-1 + 5*v^1 + 3*v^3 + 1*v^5"
"3210","3012","3210","1*v^-3 + 3*v^-1 + 3*v^1 + 1*v^3"
"3210","3021","3210","1*v^-4 + 3*v^-2 + 4*v^0 + 3*v^2 + 1*v^4"
"3210","3102","3210","1*v^-4 + 3*v^-2 + 4*v^0 + 3*v^2 + 1*v^4"
"3210","3120","3210","1*v^-5 + 4*v^-3 + 7*v^-1 + 5*v^1 + 3*v^3 + 1*v^5"
"3210","3201","3210","1*v^-5 + 3*v^-3 + 5*v^-1 + 5*v^1 + 3*v^3 + 1*v^5"
"3210","3210","3210","1*v^-6 + 3*v^-4 + 5*v^-2 + 6*v^0 + 5*v^2 + 3*v^4 + 1*v^6"
